name,local_dir,url,default_branch,head_sha,commit_date,description,language,size_kb,archived,license,topics
pulsar-django,pulsar-django,https://github.com/quantmind/pulsar-django,master,0aa20e1c08b6a782cd634e736e2238776e0c98d5,2017-11-28T10:18:34+00:00,django pulse application,Python,28,True,BSD-3-Clause,"asyncio,django,python-3,wsgi"
pulsar-odm,pulsar-odm,https://github.com/quantmind/pulsar-odm,master,5955c20beca0a89270c2b390335838deb7d5915e,2017-11-24T10:59:33+00:00,Green SqlAlchemy extensions for pulsar,Python,356,True,BSD-3-Clause,"database,orm,pulsar,puthon,sqlalchemy"
pulsar-queue,pulsar-queue,https://github.com/quantmind/pulsar-queue,master,26ec8cbc291a830bd338c31f8a129cbd15f87a69,2017-12-15T17:12:19+00:00,Asynchronous message queue consumer and scheduler,Python,884,True,BSD-3-Clause,"asyncio,consumer,pulsar,python,queue,task"
pulsar-twitter,pulsar-twitter,https://github.com/quantmind/pulsar-twitter,master,b9f7f2ef2e5ea216e0dc2b223468491a25f805a0,2016-11-28T19:17:02+00:00,Pulsar queue plugin to stream tweets from Twitter,Python,25,True,BSD-3-Clause,
pyml,pyml,https://github.com/quantmind/pyml,master,5a49f11c368f26c286e786aa754d25afe40befa1,2017-05-18T17:53:17+01:00,Docker Image for data analysis with python 3,Python,16,True,UNKNOWN,"docker-image,machine-learning,python,tensorflow"
pyslink,pyslink,https://github.com/quantmind/pyslink,main,cd40edd448dc562a6f069046845f3b8ab84fc1ea,2023-07-30T10:13:19+01:00,Soft link a file/directory with python site-packages directory,Python,25,False,BSD-3-Clause,utility
qmlib,qmlib,https://github.com/quantmind/qmlib,master,b874501b6f9e537035cabe3a19d61eed7196174c,2010-02-18T08:27:51+00:00,Legacy C++ code for quantitative finance,C++,21454,True,UNKNOWN,
quantflow,quantflow,https://github.com/quantmind/quantflow,main,76fb818c012fcfa9ea29997ac3b1ef716f1d5c31,2026-08-08T15:10:02+01:00,Quantitative finance and derivative pricing,Python,8804,False,BSD-3-Clause,"ai-tools,cox-ingersoll-ross,finance,fourier-transform,heston-model,mcp,option-pricing,quantitative-finance,stochastic-processes,stochastic-volatility-models"
require-config-js,require-config-js,https://github.com/quantmind/require-config-js,gh-pages,a5915284ef87ac63809a1c817a7926e212a0512b,2015-01-22T07:29:43+00:00,Configuration script for requirejs,JavaScript,400,True,BSD-3-Clause,
rops,rops,https://github.com/quantmind/rops,main,11625c8e895cfef1accaa25d425a04082e15d06c,2026-04-26T17:31:31+01:00,Rust binary for cloud based operations,Rust,118,False,MIT,
solare,solare,https://github.com/quantmind/solare,master,7971b1227fb92cf9a9213109c593a8e55b08f0f3,2022-04-09T12:24:40+01:00,:sunny: tooling for interacting with solana blockchain with examples of solana programs,Shell,88,False,UNKNOWN,
startup,startup,https://github.com/quantmind/startup,master,400eb72aa1f326c81152ca5f6bed2cda438fa6ed,2020-07-21T09:48:00+01:00,Random startup resources,,7,False,CC0-1.0,
topo-regions,topo-regions,https://github.com/quantmind/topo-regions,master,e4d529e1eb9401c900ba2d20b109ce9007aa5fc0,2017-11-07T15:11:16+00:00,World maps for visualization,JavaScript,971,False,BSD-3-Clause,"d3js,geojson,maps,topojson,topology"
